tmstmp, lat, lon, vid, rt, pid
20230626 19:58:13,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:58:06,29.645888333333332,-82.32263166666668,2304,11,54
20230626 19:58:07,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:58:28,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:58:28,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:58:22,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:58:50,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:58:43,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:58:38,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:58:50,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:58:59,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:58:54,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:59:10,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:59:14,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:59:09,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:59:26,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:59:29,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:59:24,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:59:41,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:59:45,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:59:40,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:59:56,29.646058333333333,-82.32268333333334,708,1,477
20230626 20:00:00,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:59:55,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:00:06,29.645546,-82.322725,708,1,477
20230626 20:00:10,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:00:26,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:00:41,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:00:57,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:01:13,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:01:28,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:01:44,29.64626414541108,-82.34339695821609,1008,35,199
20230626 20:09:57,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:10:13,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:10:28,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:10:44,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:10:44,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:11:05,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:11:22,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:11:37,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:11:53,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:12:08,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:12:25,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:12:41,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:12:56,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:13:12,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:13:29,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:13:29,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:13:59,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:14:15,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:14:15,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:14:30,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:15:00,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:15:00,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:15:19,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:15:34,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:15:50,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:16:05,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:16:20,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:16:36,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:16:36,29.6579,-82.40884,1205,75,500615
20230626 20:17:00,29.644908333333333,-82.34008333333334,2303,13,479
20230626 20:16:51,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:16:51,29.6579,-82.40884,1205,75,500615
20230626 20:17:16,29.644908333333333,-82.34008666666665,2303,13,479
20230626 20:17:07,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:17:06,29.6579,-82.40884,1205,75,500615
20230626 20:17:16,29.644908333333333,-82.34008666666665,2303,13,479
20230626 20:17:23,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:17:22,29.6579,-82.40884,1205,75,500615
20230626 20:17:31,29.644908333333333,-82.34008666666665,2303,13,479
20230626 20:17:38,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:17:37,29.6579,-82.40884,1205,75,500615
20230626 20:17:46,29.644908333333333,-82.34008666666665,2303,13,479
20230626 20:17:53,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:17:56,29.625238333333332,-82.38782,1401,75,348
20230626 20:17:53,29.6579,-82.40884,1205,75,500615
20230626 20:18:02,29.644906666666664,-82.34009333333333,2303,13,479
20230626 20:18:09,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:18:12,29.625238333333332,-82.38782,1401,75,348
20230626 20:18:09,29.6579,-82.40884,1205,75,500615
20230626 20:18:17,29.644906666666664,-82.34009333333333,2303,13,479
20230626 20:18:24,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:18:28,29.625238333333332,-82.38782,1401,75,348
20230626 20:18:24,29.6579,-82.40884,1205,75,500615
20230626 20:18:33,29.644908333333333,-82.34009333333333,2303,13,479
20230626 20:18:39,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:18:45,29.625238333333332,-82.38782,1401,75,348
20230626 20:18:40,29.6579,-82.40884,1205,75,500615
20230626 20:18:48,29.644908333333333,-82.34009333333333,2303,13,479
20230626 20:18:55,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:19:00,29.625238333333332,-82.38782,1401,75,348
20230626 20:18:55,29.6579,-82.40884,1205,75,500615
20230626 20:19:04,29.644908333333333,-82.34009333333333,2303,13,479
20230626 20:19:10,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:19:00,29.625238333333332,-82.38782,1401,75,348
20230626 20:19:11,29.6579,-82.40884,1205,75,500615
20230626 20:19:31,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:19:19,29.644908333333333,-82.34010166666667,2303,13,479
20230626 20:19:26,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:19:15,29.625238333333332,-82.38782,1401,75,348
20230626 20:19:26,29.6579,-82.40884,1205,75,500615
20230626 20:19:31,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:19:38,29.644908333333333,-82.34010166666667,2303,13,479
20230626 20:19:45,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:19:32,29.625238333333332,-82.38782,1401,75,348
20230626 20:19:42,29.6579,-82.40884,1205,75,500615
20230626 20:20:01,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:19:54,29.644908333333333,-82.34010333333332,2303,13,479
20230626 20:20:00,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:19:47,29.625238333333332,-82.38782,1401,75,348
20230626 20:19:57,29.6579,-82.40884,1205,75,500615
20230626 20:20:01,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:20:09,29.644908333333333,-82.34010333333332,2303,13,479
20230626 20:20:12,29.62525333333333,-82.38733500000002,1803,33,500643
20230626 20:20:03,29.625238333333332,-82.38782,1401,75,348
20230626 20:20:12,29.6579,-82.40884,1205,75,500615
20230626 20:20:18,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:20:24,29.644908333333333,-82.34010333333332,2303,13,479
20230626 20:20:19,29.625238333333332,-82.38782,1401,75,348
20230626 20:20:28,29.6579,-82.40884,1205,75,500615
20230626 20:20:35,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:20:41,29.644911666666665,-82.34010166666667,2303,13,479
20230626 20:20:35,29.625238333333332,-82.38782,1401,75,348
20230626 20:20:43,29.6579,-82.40884,1205,75,500615
20230626 20:20:50,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:20:56,29.644911666666665,-82.34010166666667,2303,13,479
20230626 20:20:50,29.625238333333332,-82.38782,1401,75,348
20230626 20:20:59,29.6579,-82.40884,1205,75,500615
20230626 20:21:11,29.645374999999998,-82.34699166666665,1602,9,500610
20230626 20:20:56,29.644911666666665,-82.34010166666667,2303,13,479
20230626 20:21:06,29.625238333333332,-82.38782,1401,75,348
20230626 20:20:59,29.6579,-82.40884,1205,75,500615
20230626 20:21:17,29.644909999999996,-82.34023333333334,2303,13,479
20230626 20:21:21,29.625238333333332,-82.38782,1401,75,348
20230626 20:21:16,29.6579,-82.40884,1205,75,500615
20230626 20:21:48,29.644909999999996,-82.34023333333334,2303,13,479
20230626 20:21:36,29.625238333333332,-82.38782,1401,75,348
20230626 20:21:47,29.6579,-82.40884,1205,75,500615
20230626 20:21:48,29.644909999999996,-82.34023333333334,2303,13,479
20230626 20:21:50,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:21:58,29.625238333333332,-82.38782,1401,75,348
20230626 20:21:47,29.6579,-82.40884,1205,75,500615
20230626 20:22:04,29.644906666666664,-82.34023,2303,13,479
20230626 20:22:05,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:22:14,29.625238333333332,-82.38782,1401,75,348
20230626 20:22:02,29.6579,-82.40884,1205,75,500615
20230626 20:22:19,29.644906666666664,-82.34023,2303,13,479
20230626 20:22:20,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:22:29,29.625238333333332,-82.38782,1401,75,348
20230626 20:22:17,29.6579,-82.40884,1205,75,500615
20230626 20:22:50,29.644903333333332,-82.34022833333331,2303,13,479
20230626 20:22:52,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:22:45,29.625238333333332,-82.38782,1401,75,348
20230626 20:22:48,29.6579,-82.40884,1205,75,500615
20230626 20:23:05,29.644903333333332,-82.34022833333331,2303,13,479
20230626 20:23:07,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:23:00,29.625238333333332,-82.38782,1401,75,348
