id,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
2373,2105,20221018 18:17:03,29.63471914093885,-82.28077518175868,273,342,7,E. Meadows,24015,False,16,334,707961,10071,,0,EMPTY,64800,2022-10-18
2374,1902,20221018 18:17:03,29.63780161077321,-82.34704135818102,69,500393,8,PineRidge/Walmart,7620,False,33,374,707985,10082,,0,EMPTY,65400,2022-10-18
2378,2578,20221018 18:17:03,29.64978461364301,-82.34452518375562,91,500433,9,Reitz Union/UF Campus,21928,False,0,10971,709052,10093,,0,EMPTY,64620,2022-10-18
2380,2107,20221018 18:17:05,29.64245,-82.27153000000001,173,104,11,E. Meadows/Cedar Grove,32806,False,0,650,708052,10111,,0,EMPTY,64800,2022-10-18
2381,1811,20221018 18:17:03,29.643557650007757,-82.34693142852116,181,500421,13,Cottage Grove / SW 13th Street,3533,False,20,14342,710091,10131,,0,EMPTY,65700,2022-10-18
2386,804,20221018 18:17:05,29.64823,-82.35772333333334,35,500354,20,Reitz Union / UF Campus,28370,False,16,14535,710273,10202,,0,EMPTY,65700,2022-10-18
2387,1602,20221018 18:17:01,29.65165044506897,-82.40887687105376,351,500355,20,Oaks Mall,33186,False,34,14466,710204,10203,,0,EMPTY,64800,2022-10-18
2388,1402,20221018 18:17:03,29.659658916496813,-82.41772203853466,270,324,23,Santa Fe,3400,False,0,1469,708154,10232,,0,EMPTY,65520,2022-10-18
2389,1002,20221018 18:17:05,29.6605283992226,-82.43358,180,500383,23,Oaks Mall,11040,False,0,1506,708191,10231,,0,EMPTY,65400,2022-10-18
2391,1601,20221018 18:17:03,29.640326685481018,-82.34613,180,500400,33,Butler Plaza Transfer Station,5096,False,0,13148,709374,10331,,0,HALF_EMPTY,65160,2022-10-18
2395,1806,20221018 18:17:04,29.61981601224561,-82.36527053746988,108,500387,34,Lexington Cr.,25187,False,37,13200,709404,10342,,0,EMPTY,63900,2022-10-18
2398,1009,20221018 18:17:04,29.633533176434494,-82.3587820521478,64,500406,35,Reitz Union / UF Campus,11044,False,8,14822,710386,10351,,0,EMPTY,65100,2022-10-18
2401,1104,20221018 18:17:05,29.649759738394778,-82.34353061695288,89,189,38,Enclave,795,False,4,2247,708302,10382,,0,EMPTY,65160,2022-10-18
2402,1204,20221018 18:17:01,29.64408340080432,-82.34692,180,189,38,Enclave,3631,False,17,2246,708301,10384,,0,EMPTY,64560,2022-10-18
2407,1401,20221018 18:17:05,29.623421026937887,-82.38671849205927,0,348,75,Butler Plaza Transfer Station,70186,False,20,8032,708650,10752,,0,EMPTY,62700,2022-10-18
2410,4379,20221018 18:17:06,29.633659131995632,-82.35896874380174,243,500442,150,Haile Plantation,7003,False,31,10599,708910,11504,,0,EMPTY,65400,2022-10-18
2411,4380,20221018 18:17:04,29.632616226010214,-82.36075128102692,61,500451,150,UF Health,36309,False,33,9691,708813,11503,,0,EMPTY,64800,2022-10-18
2412,2101,20221018 18:17:09,29.650476033211238,-82.30578048961488,2,352,2,Walmart/Duval,33870,False,19,13970,709866,10021,,0,EMPTY,64800,2022-10-18
2415,1802,20221018 18:17:10,29.651886372766057,-82.35218554467177,358,335,5,Rosa Parks/Downtown,19403,False,3,6072,708519,10051,,0,EMPTY,64860,2022-10-18
2420,2581,20221018 18:17:08,29.633563681530227,-82.35898398843806,64,500433,9,Reitz Union/UF Campus,11871,False,0,10972,709053,10094,,0,EMPTY,65280,2022-10-18
2426,1809,20221018 18:17:07,29.67377517317896,-82.315008827807,176,66,15,NW 13th St/ NW 23rd Ave,13810,False,9,1010,708091,10151,,0,HALF_EMPTY,64800,2022-10-18
2431,1602,20221018 18:17:07,29.65225641491638,-82.40888,0,500355,20,Oaks Mall,33460,False,24,14466,710204,10203,,0,EMPTY,64800,2022-10-18
2434,2106,20221018 18:17:09,29.65919453896937,-82.30246671665216,91,500347,26,GNV Airport,10402,False,13,1553,708215,10261,,0,HALF_EMPTY,64800,2022-10-18
2438,1014,20221018 18:17:10,29.649269780677933,-82.34472,0,500387,34,Lexington Cr.,266,False,6,13202,709405,10341,,0,HALF_EMPTY,65700,2022-10-18
2441,1003,20221018 18:17:12,29.62157666666667,-82.37042666666666,107,500406,35,Reitz Union / UF Campus,1,False,0,14823,710387,10352,,0,EMPTY,66000,2022-10-18
2442,1009,20221018 18:17:09,29.63367011203032,-82.35848941326145,60,500406,35,Reitz Union / UF Campus,11150,False,24,14822,710386,10351,,0,EMPTY,65100,2022-10-18
2443,1010,20221018 18:17:07,29.640633158151648,-82.34041886008977,39,500406,35,Reitz Union / UF Campus,17966,False,26,14821,710385,10354,,0,EMPTY,64200,2022-10-18
2447,1605,20221018 18:17:12,29.634620804398107,-82.35647750958162,247,189,38,Enclave,9377,False,0,2245,708300,10381,,0,HALF_EMPTY,63960,2022-10-18
2448,2114,20221018 18:17:11,29.638987674795818,-82.35042263053352,354,500452,38,HUB / UF Campus,13413,False,18,2321,708367,10383,,0,EMPTY,65100,2022-10-18
2450,2112,20221018 18:17:11,29.677483147729493,-82.38897,0,500335,43,Santa Fe,35982,False,21,2401,708383,10431,,0,EMPTY,62520,2022-10-18
2452,1205,20221018 18:17:09,29.63050000005242,-82.42210001833843,270,500384,75,Oaks Mall,49599,False,16,8050,708668,10753,,0,FULL,62700,2022-10-18
2458,1810,20221018 18:17:14,29.65207136217531,-82.34440195095246,270,323,5,Oaks Mall,9488,False,8,6125,708562,10053,,0,EMPTY,64080,2022-10-18
